needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,6,5.0,1.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,5,6.0,1.2
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,3,10.0,2.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,2,15.0,3.0
0.1,1.0,30,4,7.5,1.5
0.1,1.0,30,1,30.0,6.0
0.1,1.0,30,0,0.0,0.0
0.1,1.0,30,3,10.0,2.0
