needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,10000,6347,1.5755475027572081,3.1510950055144162
0.2,1.0,10000,1209,8.271298593879239,3.3085194375516958
0.2,1.0,10000,1292,7.739938080495356,3.0959752321981426
0.2,1.0,10000,1298,7.704160246533128,3.0816640986132513
0.2,1.0,10000,1289,7.757951900698216,3.1031807602792862
0.2,1.0,10000,1278,7.82472613458529,3.1298904538341157
0.2,1.0,10000,1234,8.103727714748784,3.2414910858995136
0.2,1.0,10000,1245,8.032128514056225,3.21285140562249
0.2,1.0,10000,1291,7.745933384972889,3.098373353989156
0.2,1.0,10000,1352,7.396449704142012,2.9585798816568047
0.2,1.0,10000,1243,8.045052292839904,3.2180209171359615
0.2,1.0,10000,1268,7.886435331230284,3.1545741324921135
0.2,1.0,10000,1268,7.886435331230284,3.1545741324921135
0.2,1.0,10000,1278,7.82472613458529,3.1298904538341157
0.2,1.0,10000,1282,7.800312012480499,3.1201248049921997
0.2,1.0,10000,1320,7.575757575757576,3.0303030303030303
0.2,1.0,10000,1280,7.8125,3.125
0.2,1.0,10000,1259,7.942811755361398,3.177124702144559
0.2,1.0,10000,1280,7.8125,3.125
0.2,1.0,10000,1250,8.0,3.2
0.2,1.0,10000,1250,8.0,3.2
0.2,1.0,10000,1277,7.830853563038371,3.1323414252153485
0.2,1.0,10000,1257,7.955449482895784,3.1821797931583133
0.2,1.0,10000,1304,7.668711656441718,3.067484662576687
0.2,1.0,10000,1209,8.271298593879239,3.3085194375516958
0.2,1.0,10000,1277,7.830853563038371,3.1323414252153485
0.2,1.0,10000,1264,7.9113924050632916,3.1645569620253164
0.2,1.0,10000,1319,7.58150113722517,3.0326004548900682
0.2,1.0,10000,1298,7.704160246533128,3.0816640986132513
0.2,1.0,10000,1328,7.530120481927711,3.0120481927710845
0.2,1.0,10000,1362,7.342143906020558,2.9368575624082234
0.2,1.0,10000,1306,7.656967840735069,3.0627871362940278
0.2,1.0,10000,1295,7.722007722007722,3.088803088803089
0.2,1.0,10000,1337,7.479431563201197,2.9917726252804786
0.2,1.0,10000,1326,7.541478129713424,3.0165912518853695
0.2,1.0,10000,1267,7.892659826361484,3.1570639305445933
0.2,1.0,10000,1301,7.686395080707149,3.074558032282859
0.2,1.0,10000,1248,8.012820512820513,3.2051282051282053
0.2,1.0,10000,1304,7.668711656441718,3.067484662576687
0.2,1.0,10000,1289,7.757951900698216,3.1031807602792862
0.2,1.0,10000,1241,8.058017727639001,3.2232070910556003
0.2,1.0,10000,1281,7.8064012490242,3.12256049960968
0.2,1.0,10000,1273,7.855459544383346,3.1421838177533385
