needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,1,0,0.0,0.0
0.5,1.0,2,0,0.0,0.0
0.5,1.0,3,0,0.0,0.0
0.5,1.0,4,0,0.0,0.0
0.5,1.0,5,0,0.0,0.0
0.5,1.0,6,1,6.0,6.0
0.5,1.0,7,1,7.0,7.0
0.5,1.0,8,2,4.0,4.0
0.5,1.0,9,2,4.5,4.5
0.5,1.0,10,2,5.0,5.0
0.5,1.0,11,2,5.5,5.5
0.5,1.0,12,2,6.0,6.0
0.5,1.0,13,2,6.5,6.5
0.5,1.0,14,2,7.0,7.0
0.5,1.0,15,2,7.5,7.5
0.5,1.0,16,3,5.333333333333333,5.333333333333333
0.5,1.0,17,3,5.666666666666667,5.666666666666667
0.5,1.0,18,3,6.0,6.0
0.5,1.0,19,3,6.333333333333333,6.333333333333333
0.5,1.0,20,3,6.666666666666667,6.666666666666667
0.5,1.0,21,3,7.0,7.0
0.5,1.0,22,4,5.5,5.5
0.5,1.0,23,4,5.75,5.75
0.5,1.0,24,4,6.0,6.0
0.5,1.0,25,5,5.0,5.0
0.5,1.0,26,5,5.2,5.2
0.5,1.0,27,5,5.4,5.4
0.5,1.0,28,5,5.6,5.6
0.5,1.0,29,5,5.8,5.8
0.5,1.0,30,5,6.0,6.0
0.5,1.0,31,6,5.166666666666667,5.166666666666667
0.5,1.0,32,6,5.333333333333333,5.333333333333333
0.5,1.0,33,7,4.714285714285714,4.714285714285714
0.5,1.0,34,7,4.857142857142857,4.857142857142857
0.5,1.0,35,7,5.0,5.0
0.5,1.0,36,7,5.142857142857143,5.142857142857143
0.5,1.0,37,7,5.285714285714286,5.285714285714286
0.5,1.0,38,7,5.428571428571429,5.428571428571429
0.5,1.0,39,7,5.571428571428571,5.571428571428571
0.5,1.0,40,7,5.714285714285714,5.714285714285714
0.5,1.0,41,7,5.857142857142857,5.857142857142857
0.5,1.0,42,7,6.0,6.0
0.5,1.0,43,8,5.375,5.375
0.5,1.0,44,9,4.888888888888889,4.888888888888889
0.5,1.0,45,9,5.0,5.0
0.5,1.0,46,9,5.111111111111111,5.111111111111111
0.5,1.0,47,10,4.7,4.7
0.5,1.0,48,10,4.8,4.8
0.5,1.0,49,10,4.9,4.9
0.5,1.0,50,10,5.0,5.0
0.5,1.0,51,11,4.636363636363637,4.636363636363637
0.5,1.0,52,11,4.7272727272727275,4.7272727272727275
0.5,1.0,53,12,4.416666666666667,4.416666666666667
0.5,1.0,54,13,4.153846153846154,4.153846153846154
0.5,1.0,55,13,4.230769230769231,4.230769230769231
0.5,1.0,56,13,4.3076923076923075,4.3076923076923075
0.5,1.0,57,14,4.071428571428571,4.071428571428571
0.5,1.0,58,14,4.142857142857143,4.142857142857143
0.5,1.0,59,15,3.933333333333333,3.933333333333333
0.5,1.0,60,15,4.0,4.0
0.5,1.0,61,16,3.8125,3.8125
0.5,1.0,62,16,3.875,3.875
0.5,1.0,63,16,3.9375,3.9375
0.5,1.0,64,17,3.764705882352941,3.764705882352941
0.5,1.0,65,17,3.823529411764706,3.823529411764706
0.5,1.0,66,18,3.6666666666666665,3.6666666666666665
0.5,1.0,67,18,3.7222222222222223,3.7222222222222223
0.5,1.0,68,18,3.7777777777777777,3.7777777777777777
0.5,1.0,69,18,3.8333333333333335,3.8333333333333335
0.5,1.0,70,18,3.888888888888889,3.888888888888889
0.5,1.0,71,19,3.736842105263158,3.736842105263158
0.5,1.0,72,19,3.789473684210526,3.789473684210526
0.5,1.0,73,19,3.8421052631578947,3.8421052631578947
0.5,1.0,74,19,3.8947368421052633,3.8947368421052633
0.5,1.0,75,20,3.75,3.75
0.5,1.0,76,20,3.8,3.8
0.5,1.0,77,20,3.85,3.85
0.5,1.0,78,20,3.9,3.9
0.5,1.0,79,20,3.95,3.95
0.5,1.0,80,20,4.0,4.0
0.5,1.0,81,20,4.05,4.05
0.5,1.0,82,20,4.1,4.1
0.5,1.0,83,20,4.15,4.15
0.5,1.0,84,20,4.2,4.2
0.5,1.0,85,20,4.25,4.25
0.5,1.0,86,20,4.3,4.3
0.5,1.0,87,20,4.35,4.35
0.5,1.0,88,21,4.190476190476191,4.190476190476191
0.5,1.0,89,21,4.238095238095238,4.238095238095238
0.5,1.0,90,22,4.090909090909091,4.090909090909091
0.5,1.0,91,23,3.9565217391304346,3.9565217391304346
0.5,1.0,92,23,4.0,4.0
0.5,1.0,93,23,4.043478260869565,4.043478260869565
0.5,1.0,94,24,3.9166666666666665,3.9166666666666665
0.5,1.0,95,25,3.8,3.8
0.5,1.0,96,25,3.84,3.84
0.5,1.0,97,26,3.730769230769231,3.730769230769231
0.5,1.0,98,27,3.6296296296296298,3.6296296296296298
0.5,1.0,99,28,3.5357142857142856,3.5357142857142856
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,101,30,3.3666666666666667,3.3666666666666667
0.5,1.0,102,31,3.2903225806451615,3.2903225806451615
0.5,1.0,103,31,3.3225806451612905,3.3225806451612905
0.5,1.0,104,31,3.3548387096774195,3.3548387096774195
0.5,1.0,105,32,3.28125,3.28125
0.5,1.0,106,33,3.212121212121212,3.212121212121212
0.5,1.0,107,33,3.242424242424242,3.242424242424242
0.5,1.0,108,33,3.272727272727273,3.272727272727273
0.5,1.0,109,34,3.2058823529411766,3.2058823529411766
0.5,1.0,110,34,3.235294117647059,3.235294117647059
0.5,1.0,111,34,3.264705882352941,3.264705882352941
0.5,1.0,112,35,3.2,3.2
0.5,1.0,113,35,3.2285714285714286,3.2285714285714286
0.5,1.0,114,35,3.257142857142857,3.257142857142857
0.5,1.0,115,36,3.1944444444444446,3.1944444444444446
0.5,1.0,116,37,3.135135135135135,3.135135135135135
0.5,1.0,117,37,3.1621621621621623,3.1621621621621623
0.5,1.0,118,37,3.189189189189189,3.189189189189189
0.5,1.0,119,38,3.1315789473684212,3.1315789473684212
0.5,1.0,120,38,3.1578947368421053,3.1578947368421053
0.5,1.0,121,38,3.1842105263157894,3.1842105263157894
0.5,1.0,122,38,3.210526315789474,3.210526315789474
0.5,1.0,123,38,3.236842105263158,3.236842105263158
0.5,1.0,124,38,3.263157894736842,3.263157894736842
0.5,1.0,125,38,3.289473684210526,3.289473684210526
0.5,1.0,126,39,3.230769230769231,3.230769230769231
0.5,1.0,127,40,3.175,3.175
0.5,1.0,128,41,3.1219512195121952,3.1219512195121952
0.5,1.0,129,41,3.1463414634146343,3.1463414634146343
0.5,1.0,130,41,3.1707317073170733,3.1707317073170733
0.5,1.0,131,42,3.119047619047619,3.119047619047619
0.5,1.0,132,43,3.0697674418604652,3.0697674418604652
0.5,1.0,133,43,3.0930232558139537,3.0930232558139537
0.5,1.0,134,44,3.0454545454545454,3.0454545454545454
0.5,1.0,135,44,3.0681818181818183,3.0681818181818183
0.5,1.0,136,44,3.090909090909091,3.090909090909091
0.5,1.0,137,44,3.1136363636363638,3.1136363636363638
0.5,1.0,138,45,3.066666666666667,3.066666666666667
0.5,1.0,139,46,3.0217391304347827,3.0217391304347827
0.5,1.0,140,47,2.978723404255319,2.978723404255319
0.5,1.0,141,47,3.0,3.0
0.5,1.0,142,47,3.021276595744681,3.021276595744681
0.5,1.0,143,47,3.0425531914893615,3.0425531914893615
0.5,1.0,144,47,3.0638297872340425,3.0638297872340425
0.5,1.0,145,48,3.0208333333333335,3.0208333333333335
0.5,1.0,146,48,3.0416666666666665,3.0416666666666665
0.5,1.0,147,48,3.0625,3.0625
0.5,1.0,148,49,3.020408163265306,3.020408163265306
0.5,1.0,149,49,3.0408163265306123,3.0408163265306123
0.5,1.0,150,49,3.061224489795918,3.061224489795918
0.5,1.0,151,49,3.0816326530612246,3.0816326530612246
0.5,1.0,152,49,3.1020408163265305,3.1020408163265305
0.5,1.0,153,50,3.06,3.06
0.5,1.0,154,50,3.08,3.08
0.5,1.0,155,50,3.1,3.1
0.5,1.0,156,50,3.12,3.12
0.5,1.0,157,50,3.14,3.14
0.5,1.0,158,51,3.0980392156862746,3.0980392156862746
0.5,1.0,159,51,3.1176470588235294,3.1176470588235294
0.5,1.0,160,51,3.1372549019607843,3.1372549019607843
0.5,1.0,161,51,3.156862745098039,3.156862745098039
0.5,1.0,162,51,3.176470588235294,3.176470588235294
