needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,1,0,0.0,0.0
0.5,1.0,2,1,2.0,2.0
0.5,1.0,3,1,3.0,3.0
0.5,1.0,4,2,2.0,2.0
0.5,1.0,5,2,2.5,2.5
0.5,1.0,6,3,2.0,2.0
0.5,1.0,7,3,2.3333333333333335,2.3333333333333335
0.5,1.0,8,3,2.6666666666666665,2.6666666666666665
0.5,1.0,9,4,2.25,2.25
0.5,1.0,10,4,2.5,2.5
0.5,1.0,11,4,2.75,2.75
0.5,1.0,12,5,2.4,2.4
0.5,1.0,13,5,2.6,2.6
0.5,1.0,14,6,2.3333333333333335,2.3333333333333335
0.5,1.0,15,6,2.5,2.5
0.5,1.0,16,7,2.2857142857142856,2.2857142857142856
0.5,1.0,17,8,2.125,2.125
0.5,1.0,18,9,2.0,2.0
0.5,1.0,19,10,1.9,1.9
0.5,1.0,20,10,2.0,2.0
0.5,1.0,21,11,1.9090909090909092,1.9090909090909092
0.5,1.0,22,12,1.8333333333333333,1.8333333333333333
0.5,1.0,23,12,1.9166666666666667,1.9166666666666667
0.5,1.0,24,13,1.8461538461538463,1.8461538461538463
0.5,1.0,25,13,1.9230769230769231,1.9230769230769231
0.5,1.0,26,14,1.8571428571428572,1.8571428571428572
0.5,1.0,27,14,1.9285714285714286,1.9285714285714286
0.5,1.0,28,14,2.0,2.0
0.5,1.0,29,14,2.0714285714285716,2.0714285714285716
0.5,1.0,30,14,2.142857142857143,2.142857142857143
0.5,1.0,31,15,2.066666666666667,2.066666666666667
0.5,1.0,32,15,2.1333333333333333,2.1333333333333333
0.5,1.0,33,15,2.2,2.2
0.5,1.0,34,15,2.2666666666666666,2.2666666666666666
0.5,1.0,35,15,2.3333333333333335,2.3333333333333335
0.5,1.0,36,16,2.25,2.25
0.5,1.0,37,16,2.3125,2.3125
0.5,1.0,38,16,2.375,2.375
0.5,1.0,39,16,2.4375,2.4375
0.5,1.0,40,16,2.5,2.5
0.5,1.0,41,16,2.5625,2.5625
0.5,1.0,42,17,2.4705882352941178,2.4705882352941178
0.5,1.0,43,17,2.5294117647058822,2.5294117647058822
0.5,1.0,44,17,2.588235294117647,2.588235294117647
0.5,1.0,45,18,2.5,2.5
0.5,1.0,46,18,2.5555555555555554,2.5555555555555554
0.5,1.0,47,18,2.611111111111111,2.611111111111111
0.5,1.0,48,18,2.6666666666666665,2.6666666666666665
0.5,1.0,49,18,2.7222222222222223,2.7222222222222223
0.5,1.0,50,18,2.7777777777777777,2.7777777777777777
0.5,1.0,51,18,2.8333333333333335,2.8333333333333335
0.5,1.0,52,19,2.736842105263158,2.736842105263158
0.5,1.0,53,19,2.789473684210526,2.789473684210526
0.5,1.0,54,19,2.8421052631578947,2.8421052631578947
0.5,1.0,55,20,2.75,2.75
0.5,1.0,56,21,2.6666666666666665,2.6666666666666665
0.5,1.0,57,21,2.7142857142857144,2.7142857142857144
0.5,1.0,58,21,2.761904761904762,2.761904761904762
0.5,1.0,59,21,2.8095238095238093,2.8095238095238093
0.5,1.0,60,21,2.857142857142857,2.857142857142857
0.5,1.0,61,21,2.9047619047619047,2.9047619047619047
0.5,1.0,62,21,2.9523809523809526,2.9523809523809526
0.5,1.0,63,21,3.0,3.0
0.5,1.0,64,22,2.909090909090909,2.909090909090909
0.5,1.0,65,22,2.9545454545454546,2.9545454545454546
0.5,1.0,66,22,3.0,3.0
0.5,1.0,67,22,3.0454545454545454,3.0454545454545454
0.5,1.0,68,23,2.9565217391304346,2.9565217391304346
0.5,1.0,69,24,2.875,2.875
0.5,1.0,70,24,2.9166666666666665,2.9166666666666665
0.5,1.0,71,24,2.9583333333333335,2.9583333333333335
0.5,1.0,72,24,3.0,3.0
0.5,1.0,73,24,3.0416666666666665,3.0416666666666665
0.5,1.0,74,25,2.96,2.96
0.5,1.0,75,25,3.0,3.0
0.5,1.0,76,26,2.923076923076923,2.923076923076923
0.5,1.0,77,27,2.8518518518518516,2.8518518518518516
0.5,1.0,78,27,2.888888888888889,2.888888888888889
0.5,1.0,79,28,2.8214285714285716,2.8214285714285716
0.5,1.0,80,28,2.857142857142857,2.857142857142857
0.5,1.0,81,29,2.793103448275862,2.793103448275862
0.5,1.0,82,29,2.8275862068965516,2.8275862068965516
0.5,1.0,83,29,2.8620689655172415,2.8620689655172415
0.5,1.0,84,29,2.896551724137931,2.896551724137931
0.5,1.0,85,29,2.9310344827586206,2.9310344827586206
0.5,1.0,86,30,2.8666666666666667,2.8666666666666667
0.5,1.0,87,31,2.806451612903226,2.806451612903226
0.5,1.0,88,31,2.838709677419355,2.838709677419355
0.5,1.0,89,32,2.78125,2.78125
0.5,1.0,90,32,2.8125,2.8125
0.5,1.0,91,32,2.84375,2.84375
0.5,1.0,92,32,2.875,2.875
0.5,1.0,93,33,2.8181818181818183,2.8181818181818183
0.5,1.0,94,33,2.8484848484848486,2.8484848484848486
0.5,1.0,95,34,2.7941176470588234,2.7941176470588234
0.5,1.0,96,34,2.823529411764706,2.823529411764706
0.5,1.0,97,34,2.8529411764705883,2.8529411764705883
0.5,1.0,98,34,2.8823529411764706,2.8823529411764706
0.5,1.0,99,34,2.911764705882353,2.911764705882353
0.5,1.0,100,34,2.9411764705882355,2.9411764705882355
0.5,1.0,101,34,2.9705882352941178,2.9705882352941178
0.5,1.0,102,34,3.0,3.0
0.5,1.0,103,34,3.0294117647058822,3.0294117647058822
0.5,1.0,104,34,3.0588235294117645,3.0588235294117645
0.5,1.0,105,35,3.0,3.0
0.5,1.0,106,35,3.0285714285714285,3.0285714285714285
0.5,1.0,107,35,3.057142857142857,3.057142857142857
0.5,1.0,108,35,3.085714285714286,3.085714285714286
0.5,1.0,109,35,3.1142857142857143,3.1142857142857143
0.5,1.0,110,35,3.142857142857143,3.142857142857143
0.5,1.0,111,35,3.1714285714285713,3.1714285714285713
0.5,1.0,112,36,3.111111111111111,3.111111111111111
0.5,1.0,113,37,3.054054054054054,3.054054054054054
0.5,1.0,114,37,3.081081081081081,3.081081081081081
0.5,1.0,115,37,3.108108108108108,3.108108108108108
0.5,1.0,116,37,3.135135135135135,3.135135135135135
0.5,1.0,117,37,3.1621621621621623,3.1621621621621623
0.5,1.0,118,38,3.1052631578947367,3.1052631578947367
0.5,1.0,119,38,3.1315789473684212,3.1315789473684212
0.5,1.0,120,39,3.076923076923077,3.076923076923077
0.5,1.0,121,39,3.1025641025641026,3.1025641025641026
0.5,1.0,122,39,3.128205128205128,3.128205128205128
0.5,1.0,123,39,3.1538461538461537,3.1538461538461537
0.5,1.0,124,39,3.1794871794871793,3.1794871794871793
0.5,1.0,125,39,3.2051282051282053,3.2051282051282053
0.5,1.0,126,39,3.230769230769231,3.230769230769231
0.5,1.0,127,39,3.2564102564102564,3.2564102564102564
0.5,1.0,128,39,3.282051282051282,3.282051282051282
0.5,1.0,129,39,3.3076923076923075,3.3076923076923075
0.5,1.0,130,40,3.25,3.25
0.5,1.0,131,41,3.1951219512195124,3.1951219512195124
0.5,1.0,132,42,3.142857142857143,3.142857142857143
0.5,1.0,133,42,3.1666666666666665,3.1666666666666665
0.5,1.0,134,42,3.1904761904761907,3.1904761904761907
0.5,1.0,135,43,3.13953488372093,3.13953488372093
0.5,1.0,136,44,3.090909090909091,3.090909090909091
0.5,1.0,137,44,3.1136363636363638,3.1136363636363638
0.5,1.0,138,44,3.1363636363636362,3.1363636363636362
0.5,1.0,139,44,3.159090909090909,3.159090909090909
0.5,1.0,140,44,3.1818181818181817,3.1818181818181817
0.5,1.0,141,44,3.2045454545454546,3.2045454545454546
0.5,1.0,142,44,3.227272727272727,3.227272727272727
0.5,1.0,143,45,3.1777777777777776,3.1777777777777776
0.5,1.0,144,46,3.130434782608696,3.130434782608696
0.5,1.0,145,46,3.152173913043478,3.152173913043478
0.5,1.0,146,47,3.106382978723404,3.106382978723404
0.5,1.0,147,48,3.0625,3.0625
0.5,1.0,148,48,3.0833333333333335,3.0833333333333335
0.5,1.0,149,48,3.1041666666666665,3.1041666666666665
