needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,1,0,0.0,0.0
0.5,1.0,2,0,0.0,0.0
0.5,1.0,3,0,0.0,0.0
0.5,1.0,4,0,0.0,0.0
0.5,1.0,5,0,0.0,0.0
0.5,1.0,6,1,6.0,6.0
0.5,1.0,7,1,7.0,7.0
0.5,1.0,8,1,8.0,8.0
0.5,1.0,9,2,4.5,4.5
0.5,1.0,10,3,3.3333333333333335,3.3333333333333335
0.5,1.0,11,4,2.75,2.75
0.5,1.0,12,5,2.4,2.4
0.5,1.0,13,5,2.6,2.6
0.5,1.0,14,5,2.8,2.8
0.5,1.0,15,5,3.0,3.0
0.5,1.0,16,5,3.2,3.2
0.5,1.0,17,6,2.8333333333333335,2.8333333333333335
0.5,1.0,18,6,3.0,3.0
0.5,1.0,19,6,3.1666666666666665,3.1666666666666665
0.5,1.0,20,6,3.3333333333333335,3.3333333333333335
0.5,1.0,21,7,3.0,3.0
0.5,1.0,22,7,3.142857142857143,3.142857142857143
0.5,1.0,23,7,3.2857142857142856,3.2857142857142856
0.5,1.0,24,7,3.4285714285714284,3.4285714285714284
0.5,1.0,25,7,3.5714285714285716,3.5714285714285716
0.5,1.0,26,7,3.7142857142857144,3.7142857142857144
0.5,1.0,27,8,3.375,3.375
0.5,1.0,28,8,3.5,3.5
0.5,1.0,29,8,3.625,3.625
0.5,1.0,30,8,3.75,3.75
0.5,1.0,31,8,3.875,3.875
0.5,1.0,32,8,4.0,4.0
0.5,1.0,33,8,4.125,4.125
0.5,1.0,34,9,3.7777777777777777,3.7777777777777777
0.5,1.0,35,10,3.5,3.5
0.5,1.0,36,11,3.272727272727273,3.272727272727273
0.5,1.0,37,11,3.3636363636363638,3.3636363636363638
0.5,1.0,38,11,3.4545454545454546,3.4545454545454546
0.5,1.0,39,11,3.5454545454545454,3.5454545454545454
0.5,1.0,40,11,3.6363636363636362,3.6363636363636362
0.5,1.0,41,11,3.727272727272727,3.727272727272727
0.5,1.0,42,11,3.8181818181818183,3.8181818181818183
0.5,1.0,43,11,3.909090909090909,3.909090909090909
0.5,1.0,44,12,3.6666666666666665,3.6666666666666665
0.5,1.0,45,13,3.4615384615384617,3.4615384615384617
0.5,1.0,46,13,3.5384615384615383,3.5384615384615383
0.5,1.0,47,13,3.6153846153846154,3.6153846153846154
0.5,1.0,48,14,3.4285714285714284,3.4285714285714284
0.5,1.0,49,14,3.5,3.5
0.5,1.0,50,14,3.5714285714285716,3.5714285714285716
0.5,1.0,51,14,3.642857142857143,3.642857142857143
0.5,1.0,52,14,3.7142857142857144,3.7142857142857144
0.5,1.0,53,15,3.533333333333333,3.533333333333333
0.5,1.0,54,15,3.6,3.6
0.5,1.0,55,15,3.6666666666666665,3.6666666666666665
0.5,1.0,56,15,3.7333333333333334,3.7333333333333334
0.5,1.0,57,15,3.8,3.8
0.5,1.0,58,15,3.8666666666666667,3.8666666666666667
0.5,1.0,59,15,3.933333333333333,3.933333333333333
0.5,1.0,60,15,4.0,4.0
0.5,1.0,61,15,4.066666666666666,4.066666666666666
0.5,1.0,62,16,3.875,3.875
0.5,1.0,63,16,3.9375,3.9375
0.5,1.0,64,17,3.764705882352941,3.764705882352941
0.5,1.0,65,17,3.823529411764706,3.823529411764706
0.5,1.0,66,17,3.8823529411764706,3.8823529411764706
0.5,1.0,67,17,3.9411764705882355,3.9411764705882355
0.5,1.0,68,17,4.0,4.0
0.5,1.0,69,17,4.0588235294117645,4.0588235294117645
0.5,1.0,70,17,4.117647058823529,4.117647058823529
0.5,1.0,71,18,3.9444444444444446,3.9444444444444446
0.5,1.0,72,19,3.789473684210526,3.789473684210526
0.5,1.0,73,20,3.65,3.65
0.5,1.0,74,20,3.7,3.7
0.5,1.0,75,20,3.75,3.75
0.5,1.0,76,20,3.8,3.8
0.5,1.0,77,20,3.85,3.85
0.5,1.0,78,20,3.9,3.9
0.5,1.0,79,20,3.95,3.95
0.5,1.0,80,21,3.8095238095238093,3.8095238095238093
0.5,1.0,81,21,3.857142857142857,3.857142857142857
0.5,1.0,82,21,3.9047619047619047,3.9047619047619047
0.5,1.0,83,22,3.772727272727273,3.772727272727273
0.5,1.0,84,22,3.8181818181818183,3.8181818181818183
0.5,1.0,85,22,3.8636363636363638,3.8636363636363638
0.5,1.0,86,22,3.909090909090909,3.909090909090909
0.5,1.0,87,23,3.782608695652174,3.782608695652174
0.5,1.0,88,23,3.8260869565217392,3.8260869565217392
0.5,1.0,89,23,3.869565217391304,3.869565217391304
0.5,1.0,90,24,3.75,3.75
0.5,1.0,91,24,3.7916666666666665,3.7916666666666665
0.5,1.0,92,25,3.68,3.68
0.5,1.0,93,26,3.576923076923077,3.576923076923077
0.5,1.0,94,26,3.6153846153846154,3.6153846153846154
0.5,1.0,95,26,3.6538461538461537,3.6538461538461537
0.5,1.0,96,26,3.6923076923076925,3.6923076923076925
0.5,1.0,97,26,3.730769230769231,3.730769230769231
0.5,1.0,98,26,3.769230769230769,3.769230769230769
0.5,1.0,99,27,3.6666666666666665,3.6666666666666665
0.5,1.0,100,27,3.7037037037037037,3.7037037037037037
0.5,1.0,101,28,3.607142857142857,3.607142857142857
0.5,1.0,102,29,3.5172413793103448,3.5172413793103448
0.5,1.0,103,29,3.5517241379310347,3.5517241379310347
0.5,1.0,104,29,3.586206896551724,3.586206896551724
0.5,1.0,105,29,3.6206896551724137,3.6206896551724137
0.5,1.0,106,29,3.6551724137931036,3.6551724137931036
0.5,1.0,107,30,3.566666666666667,3.566666666666667
0.5,1.0,108,30,3.6,3.6
0.5,1.0,109,30,3.6333333333333333,3.6333333333333333
0.5,1.0,110,30,3.6666666666666665,3.6666666666666665
0.5,1.0,111,30,3.7,3.7
0.5,1.0,112,31,3.6129032258064515,3.6129032258064515
0.5,1.0,113,32,3.53125,3.53125
0.5,1.0,114,32,3.5625,3.5625
0.5,1.0,115,33,3.484848484848485,3.484848484848485
0.5,1.0,116,33,3.515151515151515,3.515151515151515
0.5,1.0,117,33,3.5454545454545454,3.5454545454545454
0.5,1.0,118,33,3.5757575757575757,3.5757575757575757
0.5,1.0,119,33,3.606060606060606,3.606060606060606
0.5,1.0,120,33,3.6363636363636362,3.6363636363636362
0.5,1.0,121,33,3.6666666666666665,3.6666666666666665
0.5,1.0,122,33,3.696969696969697,3.696969696969697
0.5,1.0,123,33,3.727272727272727,3.727272727272727
0.5,1.0,124,33,3.757575757575758,3.757575757575758
0.5,1.0,125,33,3.787878787878788,3.787878787878788
0.5,1.0,126,34,3.7058823529411766,3.7058823529411766
0.5,1.0,127,34,3.735294117647059,3.735294117647059
0.5,1.0,128,35,3.657142857142857,3.657142857142857
0.5,1.0,129,35,3.6857142857142855,3.6857142857142855
0.5,1.0,130,35,3.7142857142857144,3.7142857142857144
0.5,1.0,131,35,3.742857142857143,3.742857142857143
0.5,1.0,132,35,3.7714285714285714,3.7714285714285714
0.5,1.0,133,35,3.8,3.8
0.5,1.0,134,35,3.8285714285714287,3.8285714285714287
0.5,1.0,135,35,3.857142857142857,3.857142857142857
0.5,1.0,136,36,3.7777777777777777,3.7777777777777777
0.5,1.0,137,36,3.8055555555555554,3.8055555555555554
0.5,1.0,138,36,3.8333333333333335,3.8333333333333335
0.5,1.0,139,36,3.861111111111111,3.861111111111111
0.5,1.0,140,36,3.888888888888889,3.888888888888889
0.5,1.0,141,37,3.810810810810811,3.810810810810811
0.5,1.0,142,38,3.736842105263158,3.736842105263158
0.5,1.0,143,39,3.6666666666666665,3.6666666666666665
0.5,1.0,144,39,3.6923076923076925,3.6923076923076925
0.5,1.0,145,39,3.717948717948718,3.717948717948718
0.5,1.0,146,39,3.7435897435897436,3.7435897435897436
0.5,1.0,147,39,3.769230769230769,3.769230769230769
0.5,1.0,148,39,3.7948717948717947,3.7948717948717947
0.5,1.0,149,39,3.8205128205128207,3.8205128205128207
0.5,1.0,150,40,3.75,3.75
0.5,1.0,151,40,3.775,3.775
0.5,1.0,152,40,3.8,3.8
0.5,1.0,153,41,3.731707317073171,3.731707317073171
0.5,1.0,154,41,3.7560975609756095,3.7560975609756095
0.5,1.0,155,41,3.7804878048780486,3.7804878048780486
0.5,1.0,156,41,3.8048780487804876,3.8048780487804876
