needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,1,0,0.0,0.0
0.5,1.0,2,0,0.0,0.0
0.5,1.0,3,1,3.0,3.0
0.5,1.0,4,1,4.0,4.0
0.5,1.0,5,1,5.0,5.0
0.5,1.0,6,1,6.0,6.0
0.5,1.0,7,2,3.5,3.5
0.5,1.0,8,2,4.0,4.0
0.5,1.0,9,3,3.0,3.0
0.5,1.0,10,3,3.3333333333333335,3.3333333333333335
0.5,1.0,11,3,3.6666666666666665,3.6666666666666665
0.5,1.0,12,3,4.0,4.0
0.5,1.0,13,3,4.333333333333333,4.333333333333333
0.5,1.0,14,3,4.666666666666667,4.666666666666667
0.5,1.0,15,4,3.75,3.75
0.5,1.0,16,4,4.0,4.0
0.5,1.0,17,5,3.4,3.4
0.5,1.0,18,5,3.6,3.6
0.5,1.0,19,5,3.8,3.8
0.5,1.0,20,5,4.0,4.0
0.5,1.0,21,5,4.2,4.2
0.5,1.0,22,6,3.6666666666666665,3.6666666666666665
0.5,1.0,23,6,3.8333333333333335,3.8333333333333335
0.5,1.0,24,7,3.4285714285714284,3.4285714285714284
0.5,1.0,25,7,3.5714285714285716,3.5714285714285716
0.5,1.0,26,7,3.7142857142857144,3.7142857142857144
0.5,1.0,27,7,3.857142857142857,3.857142857142857
0.5,1.0,28,7,4.0,4.0
0.5,1.0,29,7,4.142857142857143,4.142857142857143
0.5,1.0,30,7,4.285714285714286,4.285714285714286
0.5,1.0,31,7,4.428571428571429,4.428571428571429
0.5,1.0,32,7,4.571428571428571,4.571428571428571
0.5,1.0,33,8,4.125,4.125
0.5,1.0,34,8,4.25,4.25
0.5,1.0,35,8,4.375,4.375
0.5,1.0,36,8,4.5,4.5
0.5,1.0,37,8,4.625,4.625
0.5,1.0,38,8,4.75,4.75
0.5,1.0,39,9,4.333333333333333,4.333333333333333
0.5,1.0,40,10,4.0,4.0
0.5,1.0,41,10,4.1,4.1
0.5,1.0,42,10,4.2,4.2
0.5,1.0,43,10,4.3,4.3
0.5,1.0,44,10,4.4,4.4
0.5,1.0,45,10,4.5,4.5
0.5,1.0,46,10,4.6,4.6
0.5,1.0,47,11,4.2727272727272725,4.2727272727272725
0.5,1.0,48,12,4.0,4.0
0.5,1.0,49,12,4.083333333333333,4.083333333333333
0.5,1.0,50,13,3.8461538461538463,3.8461538461538463
0.5,1.0,51,13,3.923076923076923,3.923076923076923
0.5,1.0,52,13,4.0,4.0
0.5,1.0,53,13,4.076923076923077,4.076923076923077
0.5,1.0,54,13,4.153846153846154,4.153846153846154
0.5,1.0,55,14,3.9285714285714284,3.9285714285714284
0.5,1.0,56,15,3.7333333333333334,3.7333333333333334
0.5,1.0,57,15,3.8,3.8
0.5,1.0,58,15,3.8666666666666667,3.8666666666666667
0.5,1.0,59,15,3.933333333333333,3.933333333333333
0.5,1.0,60,15,4.0,4.0
0.5,1.0,61,15,4.066666666666666,4.066666666666666
0.5,1.0,62,15,4.133333333333334,4.133333333333334
0.5,1.0,63,16,3.9375,3.9375
0.5,1.0,64,16,4.0,4.0
0.5,1.0,65,17,3.823529411764706,3.823529411764706
0.5,1.0,66,17,3.8823529411764706,3.8823529411764706
0.5,1.0,67,18,3.7222222222222223,3.7222222222222223
0.5,1.0,68,19,3.5789473684210527,3.5789473684210527
0.5,1.0,69,20,3.45,3.45
0.5,1.0,70,20,3.5,3.5
0.5,1.0,71,20,3.55,3.55
0.5,1.0,72,21,3.4285714285714284,3.4285714285714284
0.5,1.0,73,22,3.3181818181818183,3.3181818181818183
0.5,1.0,74,22,3.3636363636363638,3.3636363636363638
0.5,1.0,75,22,3.409090909090909,3.409090909090909
0.5,1.0,76,22,3.4545454545454546,3.4545454545454546
0.5,1.0,77,23,3.347826086956522,3.347826086956522
0.5,1.0,78,23,3.391304347826087,3.391304347826087
0.5,1.0,79,24,3.2916666666666665,3.2916666666666665
0.5,1.0,80,25,3.2,3.2
0.5,1.0,81,25,3.24,3.24
0.5,1.0,82,26,3.1538461538461537,3.1538461538461537
0.5,1.0,83,26,3.1923076923076925,3.1923076923076925
0.5,1.0,84,26,3.230769230769231,3.230769230769231
0.5,1.0,85,26,3.269230769230769,3.269230769230769
0.5,1.0,86,26,3.3076923076923075,3.3076923076923075
0.5,1.0,87,26,3.3461538461538463,3.3461538461538463
0.5,1.0,88,26,3.3846153846153846,3.3846153846153846
0.5,1.0,89,26,3.423076923076923,3.423076923076923
0.5,1.0,90,27,3.3333333333333335,3.3333333333333335
0.5,1.0,91,27,3.3703703703703702,3.3703703703703702
0.5,1.0,92,28,3.2857142857142856,3.2857142857142856
0.5,1.0,93,28,3.3214285714285716,3.3214285714285716
0.5,1.0,94,28,3.357142857142857,3.357142857142857
0.5,1.0,95,28,3.392857142857143,3.392857142857143
0.5,1.0,96,28,3.4285714285714284,3.4285714285714284
0.5,1.0,97,29,3.3448275862068964,3.3448275862068964
0.5,1.0,98,30,3.2666666666666666,3.2666666666666666
0.5,1.0,99,30,3.3,3.3
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,101,30,3.3666666666666667,3.3666666666666667
0.5,1.0,102,31,3.2903225806451615,3.2903225806451615
0.5,1.0,103,32,3.21875,3.21875
0.5,1.0,104,32,3.25,3.25
0.5,1.0,105,32,3.28125,3.28125
0.5,1.0,106,33,3.212121212121212,3.212121212121212
0.5,1.0,107,33,3.242424242424242,3.242424242424242
0.5,1.0,108,33,3.272727272727273,3.272727272727273
0.5,1.0,109,33,3.303030303030303,3.303030303030303
0.5,1.0,110,34,3.235294117647059,3.235294117647059
0.5,1.0,111,35,3.1714285714285713,3.1714285714285713
0.5,1.0,112,35,3.2,3.2
0.5,1.0,113,36,3.138888888888889,3.138888888888889
0.5,1.0,114,37,3.081081081081081,3.081081081081081
0.5,1.0,115,38,3.026315789473684,3.026315789473684
0.5,1.0,116,38,3.0526315789473686,3.0526315789473686
0.5,1.0,117,38,3.0789473684210527,3.0789473684210527
0.5,1.0,118,38,3.1052631578947367,3.1052631578947367
0.5,1.0,119,38,3.1315789473684212,3.1315789473684212
0.5,1.0,120,38,3.1578947368421053,3.1578947368421053
0.5,1.0,121,39,3.1025641025641026,3.1025641025641026
0.5,1.0,122,40,3.05,3.05
0.5,1.0,123,41,3.0,3.0
0.5,1.0,124,41,3.024390243902439,3.024390243902439
0.5,1.0,125,41,3.048780487804878,3.048780487804878
0.5,1.0,126,42,3.0,3.0
0.5,1.0,127,43,2.953488372093023,2.953488372093023
0.5,1.0,128,43,2.9767441860465116,2.9767441860465116
0.5,1.0,129,43,3.0,3.0
0.5,1.0,130,43,3.0232558139534884,3.0232558139534884
0.5,1.0,131,44,2.977272727272727,2.977272727272727
0.5,1.0,132,44,3.0,3.0
0.5,1.0,133,44,3.022727272727273,3.022727272727273
0.5,1.0,134,45,2.977777777777778,2.977777777777778
0.5,1.0,135,45,3.0,3.0
0.5,1.0,136,45,3.022222222222222,3.022222222222222
0.5,1.0,137,46,2.9782608695652173,2.9782608695652173
0.5,1.0,138,46,3.0,3.0
0.5,1.0,139,47,2.9574468085106385,2.9574468085106385
0.5,1.0,140,47,2.978723404255319,2.978723404255319
0.5,1.0,141,47,3.0,3.0
0.5,1.0,142,47,3.021276595744681,3.021276595744681
0.5,1.0,143,47,3.0425531914893615,3.0425531914893615
0.5,1.0,144,47,3.0638297872340425,3.0638297872340425
0.5,1.0,145,47,3.0851063829787235,3.0851063829787235
0.5,1.0,146,47,3.106382978723404,3.106382978723404
0.5,1.0,147,47,3.127659574468085,3.127659574468085
0.5,1.0,148,48,3.0833333333333335,3.0833333333333335
0.5,1.0,149,49,3.0408163265306123,3.0408163265306123
0.5,1.0,150,49,3.061224489795918,3.061224489795918
0.5,1.0,151,49,3.0816326530612246,3.0816326530612246
0.5,1.0,152,49,3.1020408163265305,3.1020408163265305
0.5,1.0,153,49,3.122448979591837,3.122448979591837
0.5,1.0,154,49,3.142857142857143,3.142857142857143
0.5,1.0,155,49,3.163265306122449,3.163265306122449
0.5,1.0,156,50,3.12,3.12
0.5,1.0,157,51,3.0784313725490198,3.0784313725490198
0.5,1.0,158,51,3.0980392156862746,3.0980392156862746
0.5,1.0,159,51,3.1176470588235294,3.1176470588235294
